               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12994,              0.1296,            0.049177,             0.27054,             0.12622,            0.071191,            0.030392,             0.10855,             0.22668,            0.041771,            0.070074,           0.0033251,           0.0033251
                   1,             0.11101,              0.1668,            0.038176,             0.30106,             0.17868,             0.10288,            0.043257,             0.10549,             0.22954,            0.039214,            0.039942,           0.0065266,           0.0065266
                   2,              0.1088,             0.17025,            0.035797,             0.45676,             0.17584,             0.12334,            0.051428,             0.10433,             0.23076,             0.03691,           0.0096784,           0.0095961,           0.0095961
                   3,             0.10653,             0.16871,            0.033676,             0.50422,             0.18696,             0.15863,            0.074493,             0.10113,             0.22992,            0.036063,            0.009406,            0.009406,            0.009406
                   4,             0.10441,             0.16946,            0.032369,             0.42908,             0.20313,             0.17826,             0.08496,             0.10005,             0.22989,            0.034963,            0.009406,            0.009406,            0.009406
                   5,             0.10294,             0.16812,            0.031455,             0.46886,             0.21522,             0.19327,            0.091918,            0.099662,             0.22953,            0.034569,            0.009208,            0.009208,            0.009208
                   6,             0.10239,             0.16677,            0.030704,             0.47664,              0.2237,             0.20497,             0.10097,            0.098434,             0.22733,             0.03429,             0.00901,             0.00901,             0.00901
                   7,             0.10182,             0.16672,            0.030171,             0.48447,             0.22419,             0.21246,             0.10473,            0.097995,             0.22756,            0.033395,            0.008812,            0.008812,            0.008812
                   8,             0.10098,             0.16622,            0.029683,             0.31442,             0.24431,             0.22392,             0.11105,             0.09764,             0.22779,            0.033107,            0.008614,            0.008614,            0.008614
                   9,             0.10067,              0.1654,            0.029337,              0.3334,             0.26165,             0.23315,             0.11554,            0.097378,             0.22674,            0.033366,            0.008416,            0.008416,            0.008416
                  10,             0.10085,             0.16423,            0.028958,             0.34391,             0.26108,             0.23589,             0.11653,            0.097322,               0.227,            0.032706,            0.008218,            0.008218,            0.008218
                  11,            0.099945,             0.16513,            0.028561,             0.36104,             0.26938,             0.24423,             0.12159,            0.097144,             0.22694,             0.03269,             0.00802,             0.00802,             0.00802
                  12,            0.099912,             0.16515,            0.028205,             0.36574,             0.26732,             0.24774,             0.12733,            0.096635,              0.2258,            0.032559,            0.007822,            0.007822,            0.007822
                  13,            0.099373,             0.16259,            0.027985,             0.35885,             0.28282,             0.25604,             0.12941,            0.096344,             0.22492,            0.032044,            0.007624,            0.007624,            0.007624
                  14,            0.099243,             0.16465,            0.027766,              0.3632,             0.28728,             0.25866,             0.13052,            0.096168,             0.22475,            0.032153,            0.007426,            0.007426,            0.007426
                  15,            0.099013,             0.16286,            0.027658,             0.37807,             0.27809,              0.2592,             0.13243,            0.095982,             0.22489,             0.03222,            0.007228,            0.007228,            0.007228
                  16,            0.099142,              0.1639,            0.027392,             0.36174,             0.28848,             0.25896,             0.13196,            0.095965,             0.22497,            0.031931,             0.00703,             0.00703,             0.00703
                  17,            0.099101,             0.16376,              0.0272,             0.37073,             0.29074,             0.26635,             0.13622,            0.095978,             0.22417,            0.031596,            0.006832,            0.006832,            0.006832
                  18,             0.09834,             0.16244,            0.027077,             0.37157,             0.29204,             0.26398,             0.13476,            0.095769,             0.22468,            0.031902,            0.006634,            0.006634,            0.006634
                  19,            0.098403,             0.16311,            0.026826,             0.38039,             0.29493,             0.27205,             0.13856,            0.095647,             0.22455,            0.031743,            0.006436,            0.006436,            0.006436
                  20,            0.098122,             0.16018,            0.026553,             0.39246,             0.29244,             0.27451,             0.14085,            0.095571,             0.22456,            0.031433,            0.006238,            0.006238,            0.006238
                  21,             0.09787,             0.16001,            0.026577,             0.38876,             0.29706,             0.28291,             0.14585,            0.095329,             0.22447,            0.031505,             0.00604,             0.00604,             0.00604
                  22,            0.097495,             0.16014,             0.02633,             0.37039,             0.30578,             0.28131,             0.14682,            0.095296,             0.22395,            0.031566,            0.005842,            0.005842,            0.005842
                  23,            0.097588,             0.15862,            0.026224,             0.40399,             0.28875,             0.27739,             0.14437,            0.095355,             0.22437,            0.032109,            0.005644,            0.005644,            0.005644
                  24,            0.097338,              0.1587,            0.026031,             0.39519,             0.30569,             0.28842,             0.14964,            0.095116,             0.22418,            0.031218,            0.005446,            0.005446,            0.005446
                  25,            0.096996,              0.1588,            0.025904,             0.39626,              0.3029,             0.28308,             0.14785,            0.095188,             0.22464,            0.031258,            0.005248,            0.005248,            0.005248
                  26,            0.096984,              0.1585,            0.025814,             0.39951,             0.30867,             0.29086,             0.15298,            0.094953,             0.22365,            0.031259,             0.00505,             0.00505,             0.00505
                  27,            0.096682,             0.15832,            0.025831,             0.39096,              0.3114,             0.29497,             0.15382,            0.094919,             0.22441,            0.031023,            0.004852,            0.004852,            0.004852
                  28,            0.097077,             0.15766,            0.025693,             0.40518,             0.30709,             0.29184,             0.15319,            0.094858,             0.22393,            0.030986,            0.004654,            0.004654,            0.004654
                  29,            0.097329,              0.1588,             0.02556,             0.40051,             0.31051,             0.29474,             0.15494,            0.094858,             0.22363,            0.030862,            0.004456,            0.004456,            0.004456
                  30,            0.096619,             0.15811,            0.025468,             0.40654,             0.31064,             0.29772,             0.15657,            0.094716,             0.22355,            0.031031,            0.004258,            0.004258,            0.004258
                  31,            0.096365,             0.15737,            0.025393,             0.40429,              0.3194,             0.30089,             0.15855,            0.094649,             0.22347,            0.030973,             0.00406,             0.00406,             0.00406
                  32,            0.096858,             0.15824,            0.025173,             0.41004,             0.31779,             0.30109,               0.159,             0.09465,             0.22303,            0.030781,            0.003862,            0.003862,            0.003862
                  33,            0.096462,             0.15812,            0.025135,             0.40216,              0.3085,             0.29638,             0.15693,            0.094556,             0.22326,            0.030811,            0.003664,            0.003664,            0.003664
                  34,            0.096033,             0.15698,            0.025122,             0.39945,             0.31958,             0.30015,             0.15895,            0.094413,             0.22328,            0.030841,            0.003466,            0.003466,            0.003466
                  35,            0.096343,             0.15677,            0.024989,             0.41422,             0.32124,             0.30542,             0.16129,            0.094364,             0.22328,            0.030868,            0.003268,            0.003268,            0.003268
                  36,            0.096182,             0.15641,            0.024923,             0.40905,              0.3264,             0.30521,             0.16188,            0.094404,              0.2235,            0.030923,             0.00307,             0.00307,             0.00307
                  37,             0.09625,             0.15702,            0.024808,             0.41671,             0.31654,             0.30681,             0.16207,            0.094245,             0.22316,            0.030664,            0.002872,            0.002872,            0.002872
                  38,            0.095555,             0.15445,            0.024802,             0.41174,             0.32119,             0.30821,             0.16374,            0.094241,             0.22312,            0.030602,            0.002674,            0.002674,            0.002674
                  39,            0.095806,             0.15468,            0.024853,              0.4163,             0.31847,             0.30766,              0.1633,            0.094171,             0.22326,            0.030747,            0.002476,            0.002476,            0.002476
                  40,            0.095488,             0.15414,             0.02447,             0.42678,             0.32481,             0.31339,             0.16713,             0.09412,             0.22319,            0.030614,            0.002278,            0.002278,            0.002278
                  41,            0.095592,             0.15318,            0.024323,             0.41799,             0.32161,             0.31138,             0.16642,            0.094099,             0.22333,            0.030669,             0.00208,             0.00208,             0.00208
                  42,            0.095485,             0.15512,            0.024407,              0.4153,             0.32474,             0.31085,             0.16589,            0.094021,             0.22289,            0.030678,            0.001882,            0.001882,            0.001882
                  43,            0.095311,             0.15509,            0.024341,             0.41957,              0.3235,              0.3113,             0.16645,            0.093988,             0.22278,            0.030525,            0.001684,            0.001684,            0.001684
                  44,            0.095392,             0.15456,             0.02425,             0.41842,             0.32252,             0.30916,             0.16479,            0.093985,             0.22287,            0.030527,            0.001486,            0.001486,            0.001486
                  45,            0.095109,             0.15324,            0.024096,              0.4161,             0.32279,             0.31338,             0.16796,            0.094016,             0.22338,            0.030559,            0.001288,            0.001288,            0.001288
                  46,            0.095125,              0.1537,            0.023976,             0.41774,             0.32659,             0.31304,             0.16798,            0.093951,              0.2232,            0.030545,             0.00109,             0.00109,             0.00109
                  47,            0.095243,             0.15301,            0.024027,             0.42669,             0.32409,             0.31382,             0.16738,            0.093941,             0.22326,            0.030518,            0.000892,            0.000892,            0.000892
                  48,            0.095567,             0.15264,            0.024064,             0.42444,              0.3231,             0.31213,             0.16723,            0.093828,             0.22279,            0.030469,            0.000694,            0.000694,            0.000694
                  49,            0.094909,             0.15343,            0.023832,             0.41839,             0.32568,             0.31401,             0.16841,            0.093848,             0.22311,             0.03047,            0.000496,            0.000496,            0.000496
